mark_markid,mark_name,mark_addr_sect,mark_addr,mark_name1,mark_subunit,mark_subname,mark_flag,mark_xcoor67,mark_ycoor67,mark_html,mark_engname,mark_spot,mark_memo,mark_self,mark_addr_lie,marklev1,marklev2,marklev3,marklev4,marklev5
0981008953,蒙古紅,大安區,光復南路280巷42號,,,,,305227.288,2770517.886,,,,,,正聲里,美食佳餚,火鍋燒烤,火鍋料理,,
0981009206,Golden飲料店,大安區,延吉街133號,,,,,305104.166,2770804.978,,,,,,華聲里,美食佳餚,茶飲冰品,泡沫紅茶,,
0981004938,牛爸爸小棧,大安區,瑞安街258號,,,,,303620.297,2769056.212,,,,,,龍生里,美食佳餚,中式料理,北方麵食,,
0981005366,?兩炭火燒肉,大安區,建國南路一段324號1樓,,,,,303406.434,2769983.449,,,,,,民炤里,美食佳餚,火鍋燒烤,石器.碳烤,,
0981005780,淺草日式飯糰,大安區,四維路244號,,,,,304454.562,2768873.528,,,,,,群賢里,美食佳餚,日式料理,,,
0991006682,福記港式燒臘,中正區,寧波西街83之6號,,,,,301261.694,2769412.448,,,,,,龍福里,美食佳餚,中式料理,快餐店,,
0981002100,綠茶屋,大同區,大龍街308號,,,,,301202.11,2774024.009,,,,,,至聖里,美食佳餚,茶飲冰品,泡沫紅茶,,
0981002101,川記油飯,大同區,大龍街294號,,,,,301205.729,2773992.001,,,,,,至聖里,美食佳餚,各類小吃,,,
0981002112,川婆娘藥膳,大同區,大龍街232號,,,,,301208.744,2773806.341,,,,,,至聖里,美食佳餚,養身素食,食補.溫泉,,
0981002114,圓環魯肉飯,大同區,大龍街196號,,,,,301204.77,2773760.045,,,,,,至聖里,美食佳餚,各類小吃,,,
0991000406,曬太陽,中正區,齊東街86號,,,,0,302366.445,2770696.329,,,0,,,幸福里,美食佳餚,異國料理,義式料理,,
0991000415,古早味小吃店,南港區,南港路三段16巷4號,,,,,308957.227,2772173.546,,,,,,西新里,美食佳餚,各類小吃,,,
