mark_markid,mark_name,mark_addr_sect,mark_addr,mark_name1,mark_subunit,mark_subname,mark_flag,mark_xcoor67,mark_ycoor67,mark_html,mark_engname,mark_spot,mark_memo,mark_self,mark_addr_lie,marklev1,marklev2,marklev3,marklev4,marklev5
0950102235,OK便利商店松山永春店,信義區,信義路六段74號,OK,,,0,307382.489,2769995.537,www.okcvs.com.tw/,OK Chain Store Songshan Yongchun Branch,0,,,松友里,休閒購物,生活購物,便利商店,,
0950102145,OK便利商店士林朝陽店,士林區,大東路78號,OK,,,0,302220.21,2776103.645,www.okcvs.com.tw/,OK Chain Store Shilin Zhaoyang Branch,0,,,仁勇里,休閒購物,生活購物,便利商店,,
0950102195,OK便利商店台北同安店,中正區,同安街69巷2號,OK,,,0,301789.588,2768692.533,www.okcvs.com.tw/,OK Chain Store Taipei Tongan Branch,0,,,河堤里,休閒購物,生活購物,便利商店,,
0950102244,OK便利商店南港中研店,南港區,研究院路二段230號,OK,,,0,311434.805,2770125.258,www.okcvs.com.tw/,OK Chain Store Nangang Zhongyan Branch,0,,,九如里,休閒購物,生活購物,便利商店,,
0950102253,OK便利商店港墘店,內湖區,港墘路84號,OK,,,0,307435.974,2775042.494,www.okcvs.com.tw/,OK Chain Store Gangqi Branch,0,,,港都里,休閒購物,生活購物,便利商店,,
0950102192,OK便利商店北醫店,信義區,吳興街220巷33號,OK,,,0,305916.563,2769112.032,www.okcvs.com.tw/,OK Chain Store Taipei Medical University Branch,0,,,景勤里,休閒購物,生活購物,便利商店,,
0950102220,OK便利商店台北樂業店,大安區,樂業街96號,OK,,,0,304813.44,2768457.224,www.okcvs.com.tw/,OK Chain Store Taipei Leye Branch,0,,,芳和里,休閒購物,生活購物,便利商店,,
0950102249,OK便利商店富陽店,信義區,富陽街70號,OK,,,0,305316.38,2768510.611,www.okcvs.com.tw/,OK Chain Store Fuyang Branch,0,,,黎平里,休閒購物,生活購物,便利商店,,
0950102262,OK便利商店萬華環河店,萬華區,和平西路三段290之2號,OK,,,0,299090.705,2769969.333,www.okcvs.com.tw/,OK Chain Store Wuanhua Huanhe Branch,0,,,糖蔀里,休閒購物,生活購物,便利商店,,
0950107116,OK便利商店,中山區,南京東路三段114號,,,,0,303679.233,2771821.741,,,0,,,力行里,休閒購物,生活購物,便利商店,,
0950119829,OK便利商店,內湖區,內湖路三段60巷10弄1號,,,,0,308891.279,2775863.198,,,0,,,,休閒購物,生活購物,便利商店,,
0950121468,OK便利商店,松山區,光復北路32號,,,,0,305439.601,2771558.527,,,0,,,,休閒購物,生活購物,便利商店,,
0950131555,OK便利商店吉陽店,北投區,吉利街257巷3弄17號,,,,0,300571.423,2779264.086,www.okcvs.com.tw/,,0,,,,休閒購物,生活購物,便利商店,,
0950132016,OK便利商店北投尊賢店,北投區,尊賢街221號,,,,0,300375.692,2778885.563,www.okmart.com.tw/index1.asp,,0,,,,休閒購物,生活購物,便利商店,,
0950145580,OK便利商店軍寧店,文山區,軍功路33號,,,,0,307130.019,2766024.666,,,0,,,博嘉里,休閒購物,生活購物,便利商店,,
0950156220,OK便利商店,北投區,懷德街39號,,,,0,301549.482,2778536.256,,,0,,,,休閒購物,生活購物,便利商店,,
