mark_markid,mark_name,mark_addr_sect,mark_addr,mark_name1,mark_subunit,mark_subname,mark_flag,mark_xcoor67,mark_ycoor67,mark_html,mark_engname,mark_spot,mark_memo,mark_self,mark_addr_lie,marklev1,marklev2,marklev3,marklev4,marklev5
0950500158,摩斯漢堡公園店,中正區,公園路38號,,,,0,301304.502,2770937.724,www.mos.com.tw/,Mos Burger Gongyuan Branch ,1,,,黎明里,美食佳餚,西式料理,速食店,,
0961102164,摩斯漢堡信義通化店,大安區,信義路四段304號,,,,0,305156.602,2769745.242,,,0,,,,美食佳餚,西式料理,速食店,,
0980703696,摩斯漢堡西華店,松山區,民生東路三段113巷7弄1號,,,,,304303.08,2772587.127,,,,,,民有里,美食佳餚,西式料理,速食店,,
0981013729,摩斯漢堡,中山區,南京東路三段116號,,,,,303681.422,2771821.319,,,,,,力行里,美食佳餚,西式料理,速食店,,
0980703695,摩斯漢堡,大同區,長安西路219號,,,,,300878.148,2771842.452,,,,,,建功里,美食佳餚,西式料理,速食店,,
0991001364,摩斯漢堡,信義區,吳興街243號,,,,,306039.713,2769135.743,,,,,,三張里,美食佳餚,西式料理,速食店,,
0981005735,摩斯漢堡,大安區,和平東路二段365號1樓,,,,,304322.789,2768845.587,,,,,,群賢里,美食佳餚,西式料理,速食店,,
1010800176,摩斯漢堡,信義區,市府路45號地下1層,,,,,306074.621,2769869.038,,,,,,西村里,美食佳餚,西式料理,速食店,,
1021003178,摩斯漢堡,文山區,木柵路三段41之1號,,,,,306299.327,2764833.089,,,,,,木柵里,美食佳餚,西式料理,速食店,,
1011003598,摩斯漢堡台北凱撒店,中正區,忠孝西路一段38號地下1層,,,,,301276.257,2771202.648,,,,,,黎明里,美食佳餚,西式料理,速食店,,
1021003180,摩斯漢堡,內湖區,內湖路一段637號,,,,,307150.06,2775008.452,,,,,,港都里,美食佳餚,西式料理,速食店,,
0991008999,摩斯漢堡善導寺店,中正區,忠孝東路一段178號,,,,,302294.209,2770941.514,,,,,,幸福里,美食佳餚,西式料理,速食店,,
0950150795,摩斯漢堡  康華店,中山區,松江路274號,,,,0,302939.475,2772705.176,,,0,,,,美食佳餚,西式料理,速食店,,
0950500147,摩斯漢堡台北新光南西二店,中山區,南京西路14號地下1層,,,,0,301703.164,2771890.296,,,1,,,,美食佳餚,西式料理,速食店,,
0950500210,摩斯漢堡石牌捷運店,北投區,石牌路一段174號,,,,0,300978.464,2778762.723,www.mos.com.tw/,Mos Burger  Shipai Jieyun Branch ,1,,,榮光里,美食佳餚,西式料理,速食店,,
1021003183,摩斯漢堡,內湖區,文德路212號,,,,,308114.718,2774782.597,,,,,,紫陽里,美食佳餚,西式料理,速食店,,
